qc_id,_id,_name,_remarks,_rec_time,_latitude,_longitude,_elevation,_ortho_ht,tipo,clase,comentar_1,condicion,foto,layer,path,icon_url
"0","9",,,09/11/2023 10:57:43.715 AST,18.378620054,-66.508036293,0,0,,,,,C:\Users\OPADU LAPTOP #2\Documents\INSTALACIONES AREAS CRITICAS MUN MANATI 8-31-2023\Visita Monte Bello Shapefiles Non Prasa\Photos\visita_non_prasa_manati_montebello 8-23-2023_20230911_105755210.jpg,visita_non_prasa_manati_Monte Bello,C:\Users\OPADU LAPTOP #2\Documents\Natalia Seijo JP\visita_non_prasa_manati_Monte Bello.shp,./0.png
"1","10",,Tanque Agua,09/11/2023 11:02:31.202 AST,18.378953501,-66.508171745,0,0,Tanque,Tanque non prasa,"Monte Bello, Sector el Rayo, Tanque de agua","Buenas, provee agua a la finca y a la casa de los dueños",C:\Users\OPADU LAPTOP #2\Documents\INSTALACIONES AREAS CRITICAS MUN MANATI 8-31-2023\Visita Monte Bello Shapefiles Non Prasa\Photos\visita_non_prasa_manati_montebello 8-23-2023_20230911_110335092.jpg,visita_non_prasa_manati_Monte Bello,C:\Users\OPADU LAPTOP #2\Documents\Natalia Seijo JP\visita_non_prasa_manati_Monte Bello.shp,./0.png
"2","11",,Tanque agua,09/11/2023 11:28:39.143 AST,18.37645486,-66.529114097,0,0,Tanque agua,Tanque Non Prasa,Sector Monte Bello,buenas,C:\Users\OPADU LAPTOP #2\Documents\INSTALACIONES AREAS CRITICAS MUN MANATI 8-31-2023\Visita Monte Bello Shapefiles Non Prasa\Photos\visita_non_prasa_manati_montebello 8-23-2023_20230911_113247306.jpg,visita_non_prasa_manati_Monte Bello,C:\Users\OPADU LAPTOP #2\Documents\Natalia Seijo JP\visita_non_prasa_manati_Monte Bello.shp,./0.png
"3","12",,Tanque Non Prasa,09/11/2023 11:44:02.998 AST,18.372958038,-66.510705426,0,0,Tanque,Tanque,Sector Monte Bello,"Buenas condiciones, esta en funcionamiento",C:\Users\OPADU LAPTOP #2\Documents\INSTALACIONES AREAS CRITICAS MUN MANATI 8-31-2023\Visita Monte Bello Shapefiles Non Prasa\Photos\visita_non_prasa_manati_montebello 8-23-2023_20230911_114406258.jpg,visita_non_prasa_manati_Monte Bello,C:\Users\OPADU LAPTOP #2\Documents\Natalia Seijo JP\visita_non_prasa_manati_Monte Bello.shp,./0.png
"4","13",,Pozo Non Prasa,09/11/2023 11:52:00.978 AST,18.374787913,-66.511281431,0,0,Pozo Non Prasa,Pozo,Sector Monte Bello,Pozo buen estado,C:\Users\OPADU LAPTOP #2\Documents\INSTALACIONES AREAS CRITICAS MUN MANATI 8-31-2023\Visita Monte Bello Shapefiles Non Prasa\Photos\visita_non_prasa_manati_montebello 8-23-2023_20230911_115252384.jpg,visita_non_prasa_manati_Monte Bello,C:\Users\OPADU LAPTOP #2\Documents\Natalia Seijo JP\visita_non_prasa_manati_Monte Bello.shp,./0.png
"5","14",,Tanque Non Prasa,09/11/2023 12:04:53.183 AST,18.365996638,-66.511573121,0,0,Tanque,Tanque,Sector Monte Bello,"No está en servicios, vecino indica que el concreto se rompió y se filtra",C:\Users\OPADU LAPTOP #2\Documents\INSTALACIONES AREAS CRITICAS MUN MANATI 8-31-2023\Visita Monte Bello Shapefiles Non Prasa\Photos\visita_non_prasa_manati_montebello 8-23-2023_20230911_120554776.jpg,visita_non_prasa_manati_Monte Bello,C:\Users\OPADU LAPTOP #2\Documents\Natalia Seijo JP\visita_non_prasa_manati_Monte Bello.shp,./0.png
"6","15",,Tanque Non Prsa,09/11/2023 12:21:19.130 AST,18.367044462,-66.530893408,0,0,Tanque Non Prasa,Tanque Non Prasa,Monte Bello,Tanque buenas condiciones y está en función,C:\Users\OPADU LAPTOP #2\Documents\INSTALACIONES AREAS CRITICAS MUN MANATI 8-31-2023\Visita Monte Bello Shapefiles Non Prasa\Photos\visita_non_prasa_manati_montebello 8-23-2023_20230911_122414257.jpg,visita_non_prasa_manati_Monte Bello,C:\Users\OPADU LAPTOP #2\Documents\Natalia Seijo JP\visita_non_prasa_manati_Monte Bello.shp,./0.png
"7","16",,Pozo Non Prasa,09/11/2023 12:27:19.283 AST,18.367189559,-66.530091763,0,0,Pozo Non Prasa,Pozo,Sector Monte Bello,Pozo en función,C:\Users\OPADU LAPTOP #2\Documents\INSTALACIONES AREAS CRITICAS MUN MANATI 8-31-2023\Visita Monte Bello Shapefiles Non Prasa\Photos\visita_non_prasa_manati_montebello 8-23-2023_20230911_122808668.jpg,visita_non_prasa_manati_Monte Bello,C:\Users\OPADU LAPTOP #2\Documents\Natalia Seijo JP\visita_non_prasa_manati_Monte Bello.shp,./0.png
"8","17",,Pozo AAA,09/11/2023 12:39:59.661 AST,18.387837654,-66.528144479,0,0,Pozo AAA,Pozo AAA,"está en función, buenas condiciones",Buenas condiciones,C:\Users\OPADU LAPTOP #2\Documents\INSTALACIONES AREAS CRITICAS MUN MANATI 8-31-2023\Visita Monte Bello Shapefiles Non Prasa\Photos\visita_non_prasa_manati_montebello 8-23-2023_20230911_124048099.jpg,visita_non_prasa_manati_Monte Bello,C:\Users\OPADU LAPTOP #2\Documents\Natalia Seijo JP\visita_non_prasa_manati_Monte Bello.shp,./0.png
"9","18",,Tanque Non Prasa,09/11/2023 12:43:18.332 AST,18.386929311,-66.526428536,0,0,Tanque Non Prasa,Tanque,Monte Bello,"Buenas condiciones, está en uso por dueno de finca",C:\Users\OPADU LAPTOP #2\Documents\INSTALACIONES AREAS CRITICAS MUN MANATI 8-31-2023\Visita Monte Bello Shapefiles Non Prasa\Photos\visita_non_prasa_manati_montebello 8-23-2023_20230911_130435240.jpg,visita_non_prasa_manati_Monte Bello,C:\Users\OPADU LAPTOP #2\Documents\Natalia Seijo JP\visita_non_prasa_manati_Monte Bello.shp,./0.png
